t,plant,axis,metamer,organ,element,Ag,Tr,Ts
0,1,MS,1,blade,LeafElement1,0,0.187263843,18.78950233
0,1,MS,1,sheath,StemElement,0,0.1803941,18.59999907
0,1,MS,2,blade,LeafElement1,0,0.188262663,18.81706882
0,1,MS,2,sheath,StemElement,0,0,0
0,1,MS,3,blade,LeafElement1,0,0.189212645,18.84329084
0,1,MS,3,sheath,StemElement,0,0,0
0,1,MS,4,blade,LeafElement1,0,0,18
1,1,MS,1,blade,LeafElement1,0,0.187263843,18.78950233
1,1,MS,1,sheath,StemElement,0,0.1803941,18.59999907
1,1,MS,2,blade,LeafElement1,0,0.188262663,18.81706882
1,1,MS,2,sheath,StemElement,0,0,0
1,1,MS,3,blade,LeafElement1,0,0.189212645,18.84329084
1,1,MS,3,sheath,StemElement,0,0,0
1,1,MS,4,blade,LeafElement1,0,0,18
2,1,MS,1,blade,LeafElement1,0,0.061567078,16.99791711
2,1,MS,1,sheath,StemElement,0,0.059351156,16.93549554
2,1,MS,2,blade,LeafElement1,0,0.061889107,17.00698974
2,1,MS,2,sheath,StemElement,0,0,0
2,1,MS,3,blade,LeafElement1,0,0.062195357,17.01561812
2,1,MS,3,sheath,StemElement,0,0,0
2,1,MS,4,blade,LeafElement1,0,0.063168146,17.04302777
3,1,MS,1,blade,LeafElement1,0,0.061567078,16.99791711
3,1,MS,1,sheath,StemElement,0,0.059351156,16.93549554
3,1,MS,2,blade,LeafElement1,0,0.061889107,17.00698974
3,1,MS,2,sheath,StemElement,0,0,0
3,1,MS,3,blade,LeafElement1,0,0.062195357,17.01561812
3,1,MS,3,sheath,StemElement,0,0,0
3,1,MS,4,blade,LeafElement1,0,0.063168146,17.04302777
4,1,MS,1,blade,LeafElement1,0.228352032,0.065656899,16.44302045
4,1,MS,1,sheath,StemElement,0.075132542,0.059634001,16.37150248
4,1,MS,2,blade,LeafElement1,0.24207145,0.065969375,16.44880163
4,1,MS,2,sheath,StemElement,0,0,0
4,1,MS,3,blade,LeafElement1,0.273558072,0.06596988,16.45392613
4,1,MS,3,sheath,StemElement,0,0,0
4,1,MS,4,blade,LeafElement1,0.059989445,0.063276225,16.44908017
5,1,MS,1,blade,LeafElement1,0.228352032,0.065656899,16.44302045
5,1,MS,1,sheath,StemElement,0.075132542,0.059634001,16.37150248
5,1,MS,2,blade,LeafElement1,0.24207145,0.065969375,16.44880163
5,1,MS,2,sheath,StemElement,0,0,0
5,1,MS,3,blade,LeafElement1,0.273558072,0.06596988,16.45392613
5,1,MS,3,sheath,StemElement,0,0,0
5,1,MS,4,blade,LeafElement1,0.059989445,0.063276225,16.44908017
6,1,MS,1,blade,LeafElement1,1.115201423,0.090712122,16.70901531
6,1,MS,1,sheath,StemElement,0.370925967,0.070144123,16.58953501
6,1,MS,2,blade,LeafElement1,1.182087422,0.091108794,16.70279647
6,1,MS,2,sheath,StemElement,0,0,0
6,1,MS,3,blade,LeafElement1,1.334819437,0.090070733,16.6949439
6,1,MS,3,sheath,StemElement,0,0,0
6,1,MS,4,blade,LeafElement1,0.29640413,0.074238045,16.57452898
7,1,MS,1,blade,LeafElement1,1.115201423,0.090712122,16.70901531
7,1,MS,1,sheath,StemElement,0.370925967,0.070144123,16.58953501
7,1,MS,2,blade,LeafElement1,1.182087422,0.091108794,16.70279647
7,1,MS,2,sheath,StemElement,0,0,0
7,1,MS,3,blade,LeafElement1,1.334819437,0.090070733,16.6949439
7,1,MS,3,sheath,StemElement,0,0,0
7,1,MS,4,blade,LeafElement1,0.29640413,0.074238045,16.57452898
8,1,MS,1,blade,LeafElement1,3.411889289,0.351187194,16.74617721
8,1,MS,1,sheath,StemElement,1.160077781,0.228567047,16.45513177
8,1,MS,2,blade,LeafElement1,3.626129984,0.354046763,16.73502243
8,1,MS,2,sheath,StemElement,0,0,0
8,1,MS,3,blade,LeafElement1,4.097575286,0.347523631,16.72337048
8,1,MS,3,sheath,StemElement,0,0,0
8,1,MS,4,blade,LeafElement1,0.974708864,0.247650797,16.41207257
9,1,MS,1,blade,LeafElement1,3.411889289,0.351187194,16.74617721
9,1,MS,1,sheath,StemElement,1.160077781,0.228567047,16.45513177
9,1,MS,2,blade,LeafElement1,3.626129984,0.354046763,16.73502243
9,1,MS,2,sheath,StemElement,0,0,0
9,1,MS,3,blade,LeafElement1,4.097575286,0.347523631,16.72337048
9,1,MS,3,sheath,StemElement,0,0,0
9,1,MS,4,blade,LeafElement1,0.974708864,0.247650797,16.41207257
10,1,MS,1,blade,LeafElement1,11.18412006,1.015313703,17.77508322
10,1,MS,1,sheath,StemElement,4.108655466,0.58647395,16.91870643
10,1,MS,2,blade,LeafElement1,11.99077538,1.040854628,17.66032754
10,1,MS,2,sheath,StemElement,0,0,0
10,1,MS,3,blade,LeafElement1,13.82326013,1.041647535,17.53594102
10,1,MS,3,sheath,StemElement,0,0,0
10,1,MS,4,blade,LeafElement1,3.385846901,0.667197046,16.25295536
11,1,MS,1,blade,LeafElement1,11.18412006,1.015313703,17.77508322
11,1,MS,1,sheath,StemElement,4.108655466,0.58647395,16.91870643
11,1,MS,2,blade,LeafElement1,11.99077538,1.040854628,17.66032754
11,1,MS,2,sheath,StemElement,0,0,0
11,1,MS,3,blade,LeafElement1,13.82326013,1.041647535,17.53594102
11,1,MS,3,sheath,StemElement,0,0,0
11,1,MS,4,blade,LeafElement1,3.385846901,0.667197046,16.25295536
12,1,MS,1,blade,LeafElement1,27.49920916,2.766691435,26.67916839
12,1,MS,1,sheath,StemElement,13.13302554,1.828340321,22.33472638
12,1,MS,2,blade,LeafElement1,30.22015471,2.946508489,25.88519424
12,1,MS,2,sheath,StemElement,0,0,0
12,1,MS,3,blade,LeafElement1,37.03223461,3.148516515,24.86330086
12,1,MS,3,sheath,StemElement,0,0,0
12,1,MS,4,blade,LeafElement1,9.313215192,2.116753576,18.45321748
13,1,MS,1,blade,LeafElement1,27.49920916,2.766691435,26.67916839
13,1,MS,1,sheath,StemElement,13.13302554,1.828340321,22.33472638
13,1,MS,2,blade,LeafElement1,30.22015471,2.946508489,25.88519424
13,1,MS,2,sheath,StemElement,0,0,0
13,1,MS,3,blade,LeafElement1,37.03223461,3.148516515,24.86330086
13,1,MS,3,sheath,StemElement,0,0,0
13,1,MS,4,blade,LeafElement1,9.313215192,2.116753576,18.45321748
14,1,MS,1,blade,LeafElement1,23.4931859,3.059463584,23.53041476
14,1,MS,1,sheath,StemElement,10.41495301,1.908564392,20.50023092
14,1,MS,2,blade,LeafElement1,25.57614876,3.193589677,23.10984873
14,1,MS,2,sheath,StemElement,0,0,0
14,1,MS,3,blade,LeafElement1,30.58084247,3.30874791,22.56245307
14,1,MS,3,sheath,StemElement,0,0,0
14,1,MS,4,blade,LeafElement1,7.977664627,2.1866794,18.58160167
15,1,MS,1,blade,LeafElement1,23.4931859,3.059463584,23.53041476
15,1,MS,1,sheath,StemElement,10.41495301,1.908564392,20.50023092
15,1,MS,2,blade,LeafElement1,25.57614876,3.193589677,23.10984873
15,1,MS,2,sheath,StemElement,0,0,0
15,1,MS,3,blade,LeafElement1,30.58084247,3.30874791,22.56245307
15,1,MS,3,sheath,StemElement,0,0,0
15,1,MS,4,blade,LeafElement1,7.977664627,2.1866794,18.58160167
16,1,MS,1,blade,LeafElement1,21.25575707,3.02764016,22.14858208
16,1,MS,1,sheath,StemElement,9.209884054,1.884668131,19.57304088
16,1,MS,2,blade,LeafElement1,23.11968761,3.143161465,21.89114895
16,1,MS,2,sheath,StemElement,0,0,0
16,1,MS,3,blade,LeafElement1,27.29145827,3.212410347,21.52057379
16,1,MS,3,sheath,StemElement,0,0,0
16,1,MS,4,blade,LeafElement1,10.42997554,2.730221218,19.68980194
17,1,MS,1,blade,LeafElement1,21.25575707,3.02764016,22.14858208
17,1,MS,1,sheath,StemElement,9.209884054,1.884668131,19.57304088
17,1,MS,2,blade,LeafElement1,23.11968761,3.143161465,21.89114895
17,1,MS,2,sheath,StemElement,0,0,0
17,1,MS,3,blade,LeafElement1,27.29145827,3.212410347,21.52057379
17,1,MS,3,sheath,StemElement,0,0,0
17,1,MS,4,blade,LeafElement1,10.42997554,2.730221218,19.68980194
18,1,MS,1,blade,LeafElement1,8.916548833,1.410755496,16.37390351
18,1,MS,1,sheath,StemElement,3.246474672,0.870522401,15.61629993
18,1,MS,2,blade,LeafElement1,9.586829568,1.438146498,16.39204114
18,1,MS,2,sheath,StemElement,0,0,0
18,1,MS,3,blade,LeafElement1,10.92205526,1.421325152,16.4128178
18,1,MS,3,sheath,StemElement,0,0,0
18,1,MS,4,blade,LeafElement1,5.024074977,1.360974228,15.92119342
19,1,MS,1,blade,LeafElement1,8.916548833,1.410755496,16.37390351
19,1,MS,1,sheath,StemElement,3.246474672,0.870522401,15.61629993
19,1,MS,2,blade,LeafElement1,9.586829568,1.438146498,16.39204114
19,1,MS,2,sheath,StemElement,0,0,0
19,1,MS,3,blade,LeafElement1,10.92205526,1.421325152,16.4128178
19,1,MS,3,sheath,StemElement,0,0,0
19,1,MS,4,blade,LeafElement1,5.024074977,1.360974228,15.92119342
20,1,MS,1,blade,LeafElement1,0,0.162199141,11.33106151
20,1,MS,1,sheath,StemElement,0,0.156405574,11.16648841
20,1,MS,2,blade,LeafElement1,0,0.163040861,11.35497349
20,1,MS,2,sheath,StemElement,0,0,0
20,1,MS,3,blade,LeafElement1,0,0.163841282,11.37771275
20,1,MS,3,sheath,StemElement,0,0,0
20,1,MS,4,blade,LeafElement1,0,0.165061973,11.41239245
21,1,MS,1,blade,LeafElement1,0,0.162199141,11.33106151
21,1,MS,1,sheath,StemElement,0,0.156405574,11.16648841
21,1,MS,2,blade,LeafElement1,0,0.163040861,11.35497349
21,1,MS,2,sheath,StemElement,0,0,0
21,1,MS,3,blade,LeafElement1,0,0.163841282,11.37771275
21,1,MS,3,sheath,StemElement,0,0,0
21,1,MS,4,blade,LeafElement1,0,0.165061973,11.41239245
22,1,MS,1,blade,LeafElement1,0,0.224690087,11.62744677
22,1,MS,1,sheath,StemElement,0,0.216604763,11.39963345
22,1,MS,2,blade,LeafElement1,0,0.225865087,11.66055788
22,1,MS,2,sheath,StemElement,0,0,0
22,1,MS,3,blade,LeafElement1,0,0.226982511,11.69204759
22,1,MS,3,sheath,StemElement,0,0,0
22,1,MS,4,blade,LeafElement1,0,0.228661316,11.73935943
23,1,MS,1,blade,LeafElement1,0,0.224690087,11.62744677
23,1,MS,1,sheath,StemElement,0,0.216604763,11.39963345
23,1,MS,2,blade,LeafElement1,0,0.225865087,11.66055788
23,1,MS,2,sheath,StemElement,0,0,0
23,1,MS,3,blade,LeafElement1,0,0.226982511,11.69204759
23,1,MS,3,sheath,StemElement,0,0,0
23,1,MS,4,blade,LeafElement1,0,0.228661316,11.73935943
24,1,MS,1,blade,LeafElement1,0,0.111285922,10.24526352
24,1,MS,1,sheath,StemElement,0,0.107704624,10.14254855
24,1,MS,2,blade,LeafElement1,0,0.111797433,10.25993451
24,1,MS,2,sheath,StemElement,0,0,0
24,1,MS,3,blade,LeafElement1,0,0.112283295,10.27386993
24,1,MS,3,sheath,StemElement,0,0,0
24,1,MS,4,blade,LeafElement1,0,0.11300105,10.29445666
25,1,MS,1,blade,LeafElement1,0,0.111285922,10.24526352
25,1,MS,1,sheath,StemElement,0,0.107704624,10.14254855
25,1,MS,2,blade,LeafElement1,0,0.111797433,10.25993451
25,1,MS,2,sheath,StemElement,0,0,0
25,1,MS,3,blade,LeafElement1,0,0.112283295,10.27386993
25,1,MS,3,sheath,StemElement,0,0,0
25,1,MS,4,blade,LeafElement1,0,0.11300105,10.29445666
26,1,MS,1,blade,LeafElement1,0,0.173194154,11.55918379
26,1,MS,1,sheath,StemElement,0,0.167560872,11.39947134
26,1,MS,2,blade,LeafElement1,0,0.173999025,11.58200521
26,1,MS,2,sheath,StemElement,0,0,0
26,1,MS,3,blade,LeafElement1,0,0.174763598,11.60368456
26,1,MS,3,sheath,StemElement,0,0,0
26,1,MS,4,blade,LeafElement1,0,0.175771505,11.63226436
27,1,MS,1,blade,LeafElement1,0,0.173194154,11.55918379
27,1,MS,1,sheath,StemElement,0,0.167560872,11.39947134
27,1,MS,2,blade,LeafElement1,0,0.173999025,11.58200521
27,1,MS,2,sheath,StemElement,0,0,0
27,1,MS,3,blade,LeafElement1,0,0.174763598,11.60368456
27,1,MS,3,sheath,StemElement,0,0,0
27,1,MS,4,blade,LeafElement1,0,0.175771505,11.63226436
28,1,MS,1,blade,LeafElement1,2.669526914,0.130755827,9.525090296
28,1,MS,1,sheath,StemElement,0.929538461,0.088879737,9.368227723
28,1,MS,2,blade,LeafElement1,2.916659878,0.13340731,9.512480826
28,1,MS,2,sheath,StemElement,0,0,0
28,1,MS,3,blade,LeafElement1,3.309253833,0.131118246,9.484204728
28,1,MS,3,sheath,StemElement,0,0,0
28,1,MS,4,blade,LeafElement1,1.419622244,0.121433365,9.305826975
29,1,MS,1,blade,LeafElement1,2.669526914,0.130755827,9.525090296
29,1,MS,1,sheath,StemElement,0.929538461,0.088879737,9.368227723
29,1,MS,2,blade,LeafElement1,2.916659878,0.13340731,9.512480826
29,1,MS,2,sheath,StemElement,0,0,0
29,1,MS,3,blade,LeafElement1,3.309253833,0.131118246,9.484204728
29,1,MS,3,sheath,StemElement,0,0,0
29,1,MS,4,blade,LeafElement1,1.419622244,0.121433365,9.305826975
30,1,MS,1,blade,LeafElement1,17.41367868,1.645733666,17.63844856
30,1,MS,1,sheath,StemElement,7.368609219,0.994082522,16.29888573
30,1,MS,2,blade,LeafElement1,19.24134259,1.727425071,17.49202863
30,1,MS,2,sheath,StemElement,0,0,0
30,1,MS,3,blade,LeafElement1,23.0558364,1.78255555,17.17658677
30,1,MS,3,sheath,StemElement,0,0,0
30,1,MS,4,blade,LeafElement1,8.093149994,1.410001509,15.75450347
31,1,MS,1,blade,LeafElement1,17.41367868,1.645733666,17.63844856
31,1,MS,1,sheath,StemElement,7.368609219,0.994082522,16.29888573
31,1,MS,2,blade,LeafElement1,19.24134259,1.727425071,17.49202863
31,1,MS,2,sheath,StemElement,0,0,0
31,1,MS,3,blade,LeafElement1,23.0558364,1.78255555,17.17658677
31,1,MS,3,sheath,StemElement,0,0,0
31,1,MS,4,blade,LeafElement1,8.093149994,1.410001509,15.75450347
32,1,MS,1,blade,LeafElement1,25.79353333,2.874163718,23.91669607
32,1,MS,1,sheath,StemElement,12.12485647,1.822088655,21.2390427
32,1,MS,2,blade,LeafElement1,28.71301387,3.054032078,23.6664756
32,1,MS,2,sheath,StemElement,0,0,0
32,1,MS,3,blade,LeafElement1,35.07166677,3.229657328,22.94233381
32,1,MS,3,sheath,StemElement,0,0,0
32,1,MS,4,blade,LeafElement1,11.19156513,2.425666372,20.08795931
33,1,MS,1,blade,LeafElement1,25.79353333,2.874163718,23.91669607
33,1,MS,1,sheath,StemElement,12.12485647,1.822088655,21.2390427
33,1,MS,2,blade,LeafElement1,28.71301387,3.054032078,23.6664756
33,1,MS,2,sheath,StemElement,0,0,0
33,1,MS,3,blade,LeafElement1,35.07166677,3.229657328,22.94233381
33,1,MS,3,sheath,StemElement,0,0,0
33,1,MS,4,blade,LeafElement1,11.19156513,2.425666372,20.08795931
34,1,MS,1,blade,LeafElement1,28.90450448,3.782478469,27.99740793
34,1,MS,1,sheath,StemElement,14.69860197,2.530003651,24.08408605
34,1,MS,2,blade,LeafElement1,32.25748557,4.035163729,27.63473258
34,1,MS,2,sheath,StemElement,0,0,0
34,1,MS,3,blade,LeafElement1,39.8888447,4.325881725,26.58753953
34,1,MS,3,sheath,StemElement,0,0,0
34,1,MS,4,blade,LeafElement1,12.80853075,3.292071654,22.69135977
35,1,MS,1,blade,LeafElement1,28.90450448,3.782478469,27.99740793
35,1,MS,1,sheath,StemElement,14.69860197,2.530003651,24.08408605
35,1,MS,2,blade,LeafElement1,32.25748557,4.035163729,27.63473258
35,1,MS,2,sheath,StemElement,0,0,0
35,1,MS,3,blade,LeafElement1,39.8888447,4.325881725,26.58753953
35,1,MS,3,sheath,StemElement,0,0,0
35,1,MS,4,blade,LeafElement1,12.80853075,3.292071654,22.69135977
36,1,MS,1,blade,LeafElement1,28.44789051,4.519056657,29.29776001
36,1,MS,1,sheath,StemElement,14.83318649,3.057566625,25.23644457
36,1,MS,2,blade,LeafElement1,31.81484665,4.808868528,29.16507957
36,1,MS,2,sheath,StemElement,0,0,0
36,1,MS,3,blade,LeafElement1,39.2898219,5.132207724,28.14135449
36,1,MS,3,sheath,StemElement,0,0,0
36,1,MS,4,blade,LeafElement1,13.15606185,3.975562381,24.16463396
37,1,MS,1,blade,LeafElement1,28.44789051,4.519056657,29.29776001
37,1,MS,1,sheath,StemElement,14.83318649,3.057566625,25.23644457
37,1,MS,2,blade,LeafElement1,31.81484665,4.808868528,29.16507957
37,1,MS,2,sheath,StemElement,0,0,0
37,1,MS,3,blade,LeafElement1,39.2898219,5.132207724,28.14135449
37,1,MS,3,sheath,StemElement,0,0,0
37,1,MS,4,blade,LeafElement1,13.15606185,3.975562381,24.16463396
38,1,MS,1,blade,LeafElement1,24.24675086,4.60843585,27.54319231
38,1,MS,1,sheath,StemElement,12.23380636,3.159010574,23.92345726
38,1,MS,2,blade,LeafElement1,26.58292237,4.787745793,27.63341024
38,1,MS,2,sheath,StemElement,0,0,0
38,1,MS,3,blade,LeafElement1,30.50507501,4.779227941,27.21635907
38,1,MS,3,sheath,StemElement,0,0,0
38,1,MS,4,blade,LeafElement1,11.98624416,4.047666274,23.84063465
39,1,MS,1,blade,LeafElement1,24.24675086,4.60843585,27.54319231
39,1,MS,1,sheath,StemElement,12.23380636,3.159010574,23.92345726
39,1,MS,2,blade,LeafElement1,26.58292237,4.787745793,27.63341024
39,1,MS,2,sheath,StemElement,0,0,0
39,1,MS,3,blade,LeafElement1,30.50507501,4.779227941,27.21635907
39,1,MS,3,sheath,StemElement,0,0,0
39,1,MS,4,blade,LeafElement1,11.98624416,4.047666274,23.84063465
40,1,MS,1,blade,LeafElement1,19.87133564,3.786169413,23.16570091
40,1,MS,1,sheath,StemElement,8.848444907,2.427448818,21.23613892
40,1,MS,2,blade,LeafElement1,22.29030994,3.993902098,23.3512056
40,1,MS,2,sheath,StemElement,0,0,0
40,1,MS,3,blade,LeafElement1,25.66746675,3.990896526,23.23422148
40,1,MS,3,sheath,StemElement,0,0,0
40,1,MS,4,blade,LeafElement1,9.759163,3.310222844,21.51918535
41,1,MS,1,blade,LeafElement1,19.87133564,3.786169413,23.16570091
41,1,MS,1,sheath,StemElement,8.848444907,2.427448818,21.23613892
41,1,MS,2,blade,LeafElement1,22.29030994,3.993902098,23.3512056
41,1,MS,2,sheath,StemElement,0,0,0
41,1,MS,3,blade,LeafElement1,25.66746675,3.990896526,23.23422148
41,1,MS,3,sheath,StemElement,0,0,0
41,1,MS,4,blade,LeafElement1,9.759163,3.310222844,21.51918535
42,1,MS,1,blade,LeafElement1,6.772621343,1.580226127,18.89911229
42,1,MS,1,sheath,StemElement,2.544856716,1.041746037,18.28236605
42,1,MS,2,blade,LeafElement1,7.66384549,1.652464291,19.00853817
42,1,MS,2,sheath,StemElement,0,0,0
42,1,MS,3,blade,LeafElement1,8.640472877,1.619536108,19.11117786
42,1,MS,3,sheath,StemElement,0,0,0
42,1,MS,4,blade,LeafElement1,3.482720018,1.434150881,18.81656029
43,1,MS,1,blade,LeafElement1,6.772621343,1.580226127,18.89911229
43,1,MS,1,sheath,StemElement,2.544856716,1.041746037,18.28236605
43,1,MS,2,blade,LeafElement1,7.66384549,1.652464291,19.00853817
43,1,MS,2,sheath,StemElement,0,0,0
43,1,MS,3,blade,LeafElement1,8.640472877,1.619536108,19.11117786
43,1,MS,3,sheath,StemElement,0,0,0
43,1,MS,4,blade,LeafElement1,3.482720018,1.434150881,18.81656029
44,1,MS,1,blade,LeafElement1,0,0.348202757,15.6158447
44,1,MS,1,sheath,StemElement,0,0.336519478,15.29560161
44,1,MS,2,blade,LeafElement1,0,0.349873384,15.6616609
44,1,MS,2,sheath,StemElement,0,0,0
44,1,MS,3,blade,LeafElement1,0,0.351460663,15.70519722
44,1,MS,3,sheath,StemElement,0,0,0
44,1,MS,4,blade,LeafElement1,0,0.352857756,15.74352194
45,1,MS,1,blade,LeafElement1,0,0.348202757,15.6158447
45,1,MS,1,sheath,StemElement,0,0.336519478,15.29560161
45,1,MS,2,blade,LeafElement1,0,0.349873384,15.6616609
45,1,MS,2,sheath,StemElement,0,0,0
45,1,MS,3,blade,LeafElement1,0,0.351460663,15.70519722
45,1,MS,3,sheath,StemElement,0,0,0
45,1,MS,4,blade,LeafElement1,0,0.352857756,15.74352194
46,1,MS,1,blade,LeafElement1,0,0.182823869,12.94579424
46,1,MS,1,sheath,StemElement,0,0.176844562,12.77728009
46,1,MS,2,blade,LeafElement1,0,0.183678306,12.96987851
46,1,MS,2,sheath,StemElement,0,0,0
46,1,MS,3,blade,LeafElement1,0,0.184489993,12.99275871
46,1,MS,3,sheath,StemElement,0,0,0
46,1,MS,4,blade,LeafElement1,0,0.185122725,13.01059509
47,1,MS,1,blade,LeafElement1,0,0.182823869,12.94579424
47,1,MS,1,sheath,StemElement,0,0.176844562,12.77728009
47,1,MS,2,blade,LeafElement1,0,0.183678306,12.96987851
47,1,MS,2,sheath,StemElement,0,0,0
47,1,MS,3,blade,LeafElement1,0,0.184489993,12.99275871
47,1,MS,3,sheath,StemElement,0,0,0
47,1,MS,4,blade,LeafElement1,0,0.185122725,13.01059509
48,1,MS,1,blade,LeafElement1,0,0.192735206,13.05093317
48,1,MS,1,sheath,StemElement,0,0.186676013,12.88040517
48,1,MS,2,blade,LeafElement1,0,0.193595076,13.07513708
48,1,MS,2,sheath,StemElement,0,0,0
48,1,MS,3,blade,LeafElement1,0,0.194411587,13.09812146
48,1,MS,3,sheath,StemElement,0,0,0
48,1,MS,4,blade,LeafElement1,0,0.195041966,13.11586696
