t,Conc_Sucrose_phloem,Conc_C_Sucrose_phloem,Maintenance_respiration_phloem,SUCROSE_phloem,Respiration_phloem,Photosynthesis_chaff,Conc_TriosesP_chaff,Conc_Storage_chaff,Conc_Sucrose_chaff,D_storage_chaff,S_storage_chaff,S_sucrose_chaff,Loading_sucrose_chaff,STORAGE_chaff,SUCROSE_chaff,TRIOSESP_chaff,Photosynthesis_internode,Conc_TriosesP_internode,Conc_Storage_internode,Conc_Sucrose_internode,Conc_Fructan_internode,D_storage_internode,S_storage_internode,S_sucrose_internode,Loading_sucrose_internode,D_fructan_internode,S_fructan_internode,STORAGE_internode,SUCROSE_internode,TRIOSESP_internode,FRUCTAN_internode,Photosynthesis_lamina,Conc_TriosesP_lamina,Conc_Storage_lamina,Conc_Sucrose_lamina,Rd_lamina,D_storage_lamina,S_storage_lamina,S_sucrose_lamina,Loading_sucrose_lamina,STORAGE_lamina,SUCROSE_lamina,TRIOSESP_lamina,Photosynthesis_peduncle,Conc_TriosesP_peduncle,Conc_Storage_peduncle,Conc_Sucrose_peduncle,Conc_Fructan_peduncle,D_storage_peduncle,S_storage_peduncle,S_sucrose_peduncle,Loading_sucrose_peduncle,D_fructan_peduncle,S_fructan_peduncle,STORAGE_peduncle,SUCROSE_peduncle,TRIOSESP_peduncle,FRUCTAN_peduncle,Photosynthesis_sheath,Conc_TriosesP_sheath,Conc_Storage_sheath,Conc_Sucrose_sheath,Conc_Fructan_sheath,D_storage_sheath,S_storage_sheath,S_sucrose_sheath,Loading_sucrose_sheath,D_fructan_sheath,S_fructan_sheath,STORAGE_sheath,SUCROSE_sheath,TRIOSESP_sheath,FRUCTAN_sheath,Dry_mass_grains,RGR_structure_grains,Loading_sucrose_storage_grains,Loading_sucrose_structure_grains,STORAGE_grains,STRUCTURE_grains,Dry_mass_roots,Loading_sucrose_roots,Sucrose_roots
0.0,0.0,0.0,15.151514400000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1302,0.0,0,0.0,0.0,10850.0,0.0,0.0,0.0
8.0,0.2897727475171011,3.4772729702052128,15.151514400000002,7.232727778026843,252.12119961599987,54.49275,0.015880226843518665,1.3523948643812689,31.602739979367332,2.9211729070635406,17.10988865403614,242.3637513058379,33.529870737039495,1.7040175291203987,79.63890474800567,0.010004542911416758,1.6848,0.0005377897519094264,0.10858549602569033,1.1736738955217747,9.624776962921417e-06,0.2345446714154911,0.5807660825550622,8.77873632927879,0.031717786239395376,0.03742113283183847,0.03754801984249215,0.11727233570774555,2.535135614327033,0.00029040646603109023,1.0394759119955131e-05,121.446,0.06287053255312802,11.82606808023183,50.91216004060465,0.0,25.544307053300752,67.2658194734406,800.1325381913064,66.64274700672979,9.933897187394738,85.53242886821582,0.02640562367231377,4.080374999999999,0.0014006228260535509,0.2824970381565101,3.036796567581474,1.030977095678219e-05,0.6101936024180619,1.512354916315302,22.774290828234438,0.24358714632570247,0.03741209684797121,0.03754801984249215,0.2847570144617622,6.122181880244252,0.0007059139043309897,1.0392249124436447e-05,20.217599999999997,0.011818527047597907,2.353537426704747,23.978140520336996,1.6777572056419604e-05,5.083640841682254,12.741421486236748,183.53449965030885,11.969578090255933,0.03732674231112234,0.03754801984249215,1.4544861297035336,29.63698168313653,0.0036519248577077533,1.0368539530867316e-05,0.13020328034923517,2.177039018021804e-08,0,0.8503728647841498,0.0,10850.273362436265,4.756216124976002e-06,1.8146278405031793,0.3963513437480002
16.0,58.20538228359204,698.4645874031045,15.151514400000002,1452.8063417984574,504.24239923199826,71.25975,0.021207293964913165,2.5466256179340316,135.78586064570462,5.500711334737509,22.83124913032228,316.5172040145394,356.9356447650988,3.2087482785968797,342.1803688271756,0.013360595197895295,2.2032000000000003,0.0007038272691141075,0.43618437240791,14.8918327714588,0.0018743248909299014,0.9421582444010858,0.7600532087170951,11.480445084086544,-19.720760127165537,7.287375175935456,7.288866777629856,0.4710791222005428,32.166358786351005,0.000380066725321618,0.0020242708822042934,158.814,0.08929175694772173,61.12944089810461,256.3689429325394,0.0,132.039592339906,95.16053973577435,1039.3109993750386,1313.6448117092652,51.348730354407884,430.6998241266663,0.03750253791804313,5.335875,0.0018351351986275995,1.1387286082431867,33.53094591974408,0.0020081758689974405,2.459653793805283,1.9814005938219619,29.781065605969122,-24.158462343560856,7.287268593417913,7.288866777629856,1.1478384371091321,67.59838697420406,0.0009249081401083102,0.0020242412759494204,26.438399999999998,0.015698878087518183,9.893931078112125,139.52945514039303,0.003275017718516383,21.37089112872219,16.91495645862469,239.78035692677463,239.11852521571663,7.286259420155248,7.288866777629856,6.114449406273293,172.45840655352575,0.004850953329043118,0.0020239609500431245,0.13233650704652067,1.3291234689830045e-06,0,52.76746719562961,0.0,11028.042253876722,0.0015598004271547951,47.2370200442292,129.98336892956627
24.0,67.9929388784378,815.9152665412536,15.151514400000002,1697.1037544058074,756.363598847999,0.0,-1.1252828122978887e-09,0.0003646231877134508,85.4976887516522,0.0007875860854610538,0.0,0.0,50.70995228341166,0.000459425216518948,215.45417565416355,-7.089281717476699e-10,0.0,-4.058889733303151e-11,0.050401547570255,40.66871987544618,0.0021777228739600562,0.1088673427517508,0.0,0.0,-33.97504061590126,8.466986533956698,8.466488036497191,0.054433671375875396,87.84443493096374,-2.1918004559837016e-11,0.0023519407038768607,0.0,-3.7620434657824736e-09,6.287969426268919,84.93058555161669,18.684,13.582013960740866,0.0,0.0,37.19683021839284,5.281894318065892,142.68338372671604,-1.5800582556286393e-09,3.79265625,0.0013011546047986195,0.23537513423360387,60.460695230165925,0.0023332843192831786,0.5084102899445844,1.404972760166033,21.166435329449744,-13.297614515665925,8.4670221378148,8.466488036497191,0.23725813530747272,121.88876158401452,0.0006557819208185043,0.0023519505938374443,0.0,-8.512005359001591e-10,1.1181670391242444,97.30224710060237,0.003805896774576243,2.415240804508368,0.0,0.0,60.097532700934714,8.467359144077225,8.466488036497191,0.691027230178783,120.26557741634454,-2.6302096559314914e-10,0.002352044206688118,0.13640960888934175,1.3892085294551996e-06,0,56.85041765061642,0.0,11367.467407445147,0.0038967433828454774,48.10425811506355,324.7286152371231
32.0,48.64546630934132,583.7455957120959,15.151514400000002,1214.1908390811595,1008.4847984639979,54.49275,0.015880226761630138,1.352394854565481,87.01336937993716,2.9211728858614388,17.109888566016366,242.36375014019595,113.11936746221551,1.7040175167525058,219.27369083744162,0.010004542859826987,1.6848,0.0005377897519111044,0.1114147751674318,50.77250220704665,0.001575534089107931,0.24065591436165268,0.5807660825568743,8.778736329306115,3.3018330574660246,6.125676538451636,6.125661050731163,0.12032795718082633,109.66860476722077,0.0002904064660319964,0.0017015768162365655,121.446,0.06287053269984458,12.179041813980781,127.37935601523937,0.0,26.30673031819849,67.26581962894761,800.1325396435145,259.3280542210779,10.230395123743858,213.99731810560218,0.026405623733934725,4.29485625,0.0014747846165753245,0.6855107702053708,65.5665898364101,0.0016880725559423344,1.4807032636436008,1.5924151155040185,23.97214034483735,32.395749685710264,6.125677691003543,6.125661050731163,0.6909948563670137,132.18224511020276,0.0007432914467539636,0.001701577136389873,20.217599999999997,0.01181852702400032,2.416305474400367,89.7279320335778,0.0027533661032344363,5.219219824704793,12.741421460841476,183.53449930253532,77.68056302085266,6.125688906475974,6.125661050731163,1.4932767831794267,110.90372399350215,0.0036519248504160986,0.0017015802517988815,0.14035253479836526,1.2550180020521507e-06,0,52.84348734167979,0.0,11696.044566530438,0.006174567591552716,46.10232572777876,514.5472992960597
40.0,101.63853765263082,1219.6624518315698,15.151514400000002,2536.8978998096654,1260.6059980799937,71.25975,0.021207293964840168,2.546625466543953,165.20211825417093,5.500711007734939,22.831249130243947,316.51720401354567,355.8007693787979,3.2087480878453802,416.30933800051076,0.013360595197849306,2.2032000000000003,0.000703827269114107,0.4363431887296078,75.38514287088485,0.003192897948246848,0.9425012876559529,0.7600532087170947,11.480445084086538,-60.509415270298135,12.413987222783744,12.415234700063746,0.4712506438279764,162.83190860111125,0.0003800667253216178,0.0034483297841065956,158.814,0.0892917565839479,61.14925404089667,281.910663185416,0.0,132.08238872833684,95.16053935321506,1039.3109963632817,1314.1012478174825,51.36537339435321,473.60991415149897,0.03750253776525812,4.79705625,0.0016484462406536335,0.7926637673938965,84.21180050990947,0.003420937522081964,1.7121537375708167,1.7798818339782199,26.773959244946973,-42.851425712676836,12.413898080131032,12.415234700063746,0.7990050775330477,169.7709898279775,0.0008308169052894313,0.00344830502225862,26.438399999999998,0.015698878087505946,9.897454435994222,171.2789170612306,0.005579402197443502,21.37850158174752,16.91495645861154,239.78035692660018,251.3583062940582,12.413054008872303,12.415234700063746,6.116626841444429,211.700741487681,0.004850953329039337,0.0034480705580200843,0.14460433592678912,1.5249167048162514e-06,0,66.15287023308645,0.0,12050.361327232426,0.008494474684502675,49.90804452115365,707.8728903752228
48.0,106.88761256254158,1282.651350750499,15.151514400000002,2667.914809561038,1512.7271976959892,0.0,-1.9901932831360223e-09,0.0003646381858765872,118.4357519697697,0.0007876184814934285,0.0,0.0,46.34231848309431,0.0004594441142044999,298.45809496381963,-1.2538217683756941e-09,0.0,-7.178617551939188e-11,0.05041046444175007,106.64900275343705,0.0033483188377845616,0.10888660319418014,0.0,0.0,-0.7780308483433598,13.018263641306376,13.017771479507788,0.05444330159709007,230.361845947424,-3.876453478047161e-11,0.0036161843448073265,0.0,-6.653610912318366e-09,6.289081777674238,114.78310777043394,18.684,13.584416639776355,0.0,0.0,23.43398235050431,5.282828693246361,192.83562105432904,-2.7945165831737142e-09,5.29925625,0.001822363859028743,0.8806799242396567,115.99336708266209,0.003587495437277747,1.9022686363576589,1.9676151111509863,29.575511586707155,30.840778763013844,13.018303442793489,13.017771479507788,0.887725363633574,233.8426280386468,0.0009184713849504865,0.0036161954007759693,0.0,-1.505446954228359e-09,1.118364859356052,128.32825187604286,0.00585160070782688,2.415668096209072,0.0,0.0,57.981335393712676,13.018641254773243,13.017771479507788,0.69114948308204,158.61371931878898,-4.651831088565629e-10,0.003616289237437012,0.14953224663092693,1.5398448718792652e-06,0,69.0769389465655,0.0,12461.020552577244,0.010925147962795761,50.09446011312331,910.4289968996468
56.0,86.36155374274483,1036.338644912938,15.151514400000002,2155.584381418911,1764.848397311988,54.49275,0.01588022684362071,1.3523948427032104,118.54017084306031,2.921172860238934,17.109888654145827,242.36375130729047,129.24562249640616,1.7040175018060448,298.72123052451195,0.010004542911481047,1.6848,0.0005377897519092898,0.11141527572578802,94.93270041090885,0.0027369009325771683,0.24065699556770212,0.5807660825549148,8.778736329276567,24.877485753231014,10.641070825860028,10.641069773580886,0.12032849778385106,205.0546328875631,0.0002904064660310165,0.002955853007183341,121.446,0.06287053249234648,12.179104245590862,161.0396299932177,0.0,26.306865170476264,67.26581940901735,800.1325375896874,310.96723410822113,10.230447566296325,270.5465783886057,0.02640562364678552,5.80145625,0.0019965380026475505,0.9677384834257808,104.09124799375832,0.0029323938888511556,2.090315124199687,2.1556154776263283,32.37679683745998,53.88795516760804,10.641070943863074,10.641069773580886,0.9754803912931871,209.84795595541678,0.0010062551533343656,0.0029558530399619648,20.217599999999997,0.01181852704762449,2.416316578506628,120.18731205831666,0.004782934347405247,5.2192438095743166,12.741421486265358,183.53449965070058,85.67110496854605,10.641072336107191,10.641069773580886,1.493283645517096,148.5515177040794,0.0036519248577159672,0.002955853426696442,0.15447192758000944,1.4734614110204561e-06,0,68.28252731252712,0.0,12872.660631667452,0.013327364342277243,49.24789548945268,1110.6136951897702
64.0,136.74016394377261,1640.8819673252713,15.151514400000002,3413.034492036564,2016.9695969279846,71.25975,0.02120729396481028,2.5466256007241475,191.2327759668922,5.500711297564158,22.83124913021187,316.5172040131388,353.0879307750739,3.2087482569124255,481.90659543656835,0.013360595197830475,2.2032000000000003,0.0007038272691141069,0.4363432195083013,118.4238511248929,0.0042121170020484235,0.9425013541379308,0.7600532087170945,11.480445084086535,-66.31762382232397,16.37671090396427,16.37782163764857,0.4712506770689654,255.79551842976866,0.00038006672532161774,0.004549086362212297,158.814,0.08929175657431986,61.14925825260848,303.82796033311166,0.0,132.08239782563433,95.16053934308981,1039.310996283569,1312.6870916325795,51.365376932191126,510.43097335962767,0.037502537761214344,6.3036562499999995,0.0021709692040787452,1.0548601649407074,125.21956936889815,0.004512960629167119,2.278497956271928,2.343883465581786,35.17781446730981,-42.12339260021507,16.376631531121642,16.37782163764857,1.0632990462602332,252.4426518476987,0.0010941684788556877,0.004549064314200457,26.438399999999998,0.0156988780874971,9.897455128073592,197.27550598792217,0.007360607675740083,21.378503076638957,16.91495645860203,239.78035692647407,251.65778572232318,16.375879956986534,16.37782163764857,6.116627269149479,243.8325254010718,0.004850953329036603,0.004548855543607371,0.15967370019999438,1.6063190809147881e-06,0,76.94607340545552,0.0,13306.141683332866,0.01574673976700171,50.89812399613934,1312.2283139168094
72.0,139.1934583252144,1670.321499902573,15.151514400000002,3474.268719797352,2269.0907965439883,0.0,-1.1909612718417965e-09,0.00036461011199246236,147.9943107844677,0.0007875578419037187,0.0,0.0,44.131905408437476,0.0004594087411105025,372.9456631768586,-7.503056012603318e-10,0.0,-4.295791098146473e-11,0.05041046449111023,142.71284302881708,0.1042711812002199,0.10888660330079811,0.0,0.0,15.356120972050757,17.655129121991106,16.64901205921554,0.05444330165039905,308.2597409422449,-2.3197271929990955e-11,0.11261287569623749,0.0,-3.981620760701169e-09,6.289081746235959,142.06865677606385,18.684,13.584416571869673,0.0,0.0,10.562211147526554,5.282828666838206,238.6753433837873,-1.6722807194944912e-09,6.805856250000001,0.002345657998548315,1.1421024994860465,151.40978236734483,0.10458923487873673,2.46694139888986,2.532419609885139,37.9785639656119,54.00957024850821,17.655129121991106,16.64901205921554,1.1512393194819348,305.2421212525672,0.0011822116312683508,0.10542594875776663,0.0,-9.008818326274328e-10,1.1183648591797415,156.18348061658483,0.10759992126054933,2.415668095828242,0.0,0.0,55.918723660315834,17.655129121991106,16.64901205921554,0.6911494829730802,193.04278204209882,-2.7837248628187673e-10,0.06649675133901949,0.16536096698474384,1.610707110475024e-06,0,79.90442559520578,0.0,13780.080582061986,0.018217308278008954,50.94970659267416,1518.1090231674127
80.0,116.63515407178399,1399.621848861408,15.151514400000002,2911.2134456317285,2521.2119961599956,54.49275,0.015880226843502168,1.3523948368162706,145.6259286823803,2.9211728475231444,17.109888654018413,242.36375130560307,143.04788638002822,1.704017494388501,366.9773402795983,0.010004542911406365,1.6848,0.0005377897519094214,0.11141527603998756,124.23646947990862,0.0036335580443723693,0.24065699624637316,0.580766082555057,8.77873632927871,28.872844997160147,14.127273676519772,14.127273906484909,0.12032849812318655,268.3507740766026,0.0002904064660310876,0.003924242687922159,121.446,0.06287053254644108,12.179104282505364,189.3781696527848,0.0,26.306865250211587,67.26581946635301,800.1325381251186,356.21316051350993,10.230447597304506,318.1553250166785,0.026405623669505253,7.308056249999999,0.0025206049168546977,1.2294689501704805,133.55022538722775,0.0038930979113107745,2.655652932368238,2.721224440447405,40.77904472741972,65.96213451914562,14.127273700564539,14.127273906484909,1.2393047017718444,269.23725438065117,0.0012703848780947677,0.003924242694601261,20.217599999999997,0.011818527047594693,2.4163165853282247,146.88672319138433,0.006349907495248435,5.219243824308966,12.741421486233289,183.53449965026144,93.63940661157288,14.12727419542872,14.127273906484909,1.4932836497328428,181.55198986455102,0.0036519248577067598,0.003924242832063533,0.17112405895645885,1.5646312823162116e-06,0,80.32381674005977,0.0,14260.338246371572,0.020668256380022947,50.39909220841243,1722.3546983352458
88.0,164.6411636641446,1975.6939639697355,15.151514400000002,4109.44344505705,2773.333195776008,71.25975,0.021207293964740095,2.5466254995434476,213.34516149874355,5.500711079013848,22.83124913013655,316.5172040121834,352.07105936780357,3.208748129424744,537.6298069768337,0.01336059519778626,2.2032000000000003,0.0007038272691141062,0.4363432219706321,149.84474867660788,0.7072492310413706,0.9425013594565654,0.7600532087170937,11.480445084086524,-67.78752156059447,16.29904127109852,19.419177247241475,0.47125067972828266,323.664657141473,0.00038006672532161736,0.7638291695246803,158.814,0.08929175655406292,61.14925867789265,322.13481439922043,0.0,132.08239874424814,95.16053932178681,1039.3109961158577,1311.865945693237,51.36537728942983,541.1864881906904,0.037502537752706434,7.81025625,0.0026958104999552,1.3169599452584653,157.11412771939186,0.7075672666258609,2.8446334817582852,2.9102984979642934,43.57925628708974,-34.5315021542149,16.29904127109852,19.419177247241475,1.327495624820533,316.742081482294,0.0013586884919774209,0.7132278047588678,26.438399999999998,0.015698878087476043,9.8974551841896,219.3908389846014,0.7105776770484149,21.378503197849536,16.9149564585794,239.7803569261739,253.1210371976795,16.29904127109852,19.419177247241475,6.116627303829172,271.1670769849673,0.004850953329030097,0.4391370044159204,0.17714976017719716,1.6495269535251177e-06,0,87.66399126683918,0.0,14762.48001476643,0.02312836218934403,51.3984604215582,1927.363515778669
96.0,163.93101746556832,1967.17220958682,15.151514400000002,4091.7181959405857,3025.4543953920047,0.0,-1.2038861794773346e-09,0.00036463872219823034,171.68811617216008,0.0007876196399481776,0.0,0.0,45.12554612217812,0.00045944478996977025,432.65405275384336,-7.584482930707207e-10,0.0,-4.342410782676179e-11,0.05041046626872772,168.79604315869588,6.210025263294464,0.10888660714045188,0.0,0.0,25.107248713648005,16.334052714779656,19.34291738675932,0.054443303570225934,364.5994532227831,-2.3449018226451368e-11,6.706827284358021,0.0,-4.0248321692185315e-09,6.289082024199931,164.4050703340536,18.684,13.58441717227185,0.0,0.0,2.0152583586664936,5.282828900327942,276.20051816121,-1.6904295110717833e-09,8.31245625,0.002871275027530901,1.4045757435419135,177.88961040753387,6.2103432988789615,3.033883606050533,3.0996420410153758,46.379193989150835,72.50508549970073,16.334052714779656,19.34291738675932,1.4158123494902488,358.6254545815883,0.0014471226138755744,6.260026045269994,0.0,-9.1065863089833e-10,1.1183649001999243,178.8533318187964,6.2133537093015105,2.4156681844318366,0.0,0.0,56.24208648973035,16.334052714779656,19.34291738675932,0.6911495083235533,221.06271812803234,-2.8139351694758397e-10,3.839852592348333,0.18360799698952973,1.648585485659301e-06,0,90.80804366637459,0.0,15300.666415794143,0.025619741815533233,51.38773577984616,2134.9784846277694
